feature,importance
HC03_VC199,0.0011498859857436276
HC04_VC199,7.407462695741115e-06
HC01_VC200,1.8458443041354256e-07
HC02_VC200,0.00011216151012260586
HC03_VC200,1.3755455496591655e-07
HC04_VC200,8.762799179642609e-06
HC01_VC201,7.28873199800514e-06
HC02_VC201,3.257420433405484e-05
HC03_VC201,2.532400630189051e-05
HC04_VC201,6.927858526780981e-06
HC01_VC202,2.443927926629478e-07
HC02_VC202,2.2428160822262417e-06
HC03_VC202,5.172010119433574e-06
HC04_VC202,1.5838412546587955e-05
HC01_VC203,0.00011429645174268967
HC02_VC203,9.494338564754207e-06
HC03_VC203,6.315995267312411e-07
HC04_VC203,1.4202852509337237e-10
HC01_VC204,3.6286430244561832e-06
HC02_VC204,3.930767822323259e-06
HC03_VC204,2.7505420373276257e-06
HC04_VC204,0.0011686218076050019
HC01_VC205,1.605183866009875e-05
HC02_VC205,8.659110810656708e-06
HC03_VC205,2.2546146407238444e-07
HC04_VC205,1.6860120470254694e-06
HC01_VC206,4.2440888282782896e-06
HC02_VC206,0.0001454406797747444
HC03_VC206,5.266887844520826e-06
HC04_VC206,2.289478484919373e-05
HC01_VC207,1.0319571987957504e-05
HC02_VC207,0.0030714597661767526
HC03_VC207,1.5255647928590025e-05
HC04_VC207,1.0332375760612577e-06
HC01_VC208,3.231153994148001e-06
HC02_VC208,0.0002487169251328198
HC03_VC208,0.003315704856775064
HC04_VC208,1.607461726471396e-05
HC01_VC209,1.4929232910138352e-05
HC02_VC209,0.06854166466223013
HC03_VC209,1.0210614552375482e-05
HC04_VC209,1.0317722387588949e-05
COUNTY_ACCOMACK,0.0
COUNTY_ADAIR,0.0
COUNTY_ADAMS,8.070047910149624e-08
COUNTY_ALBEMARLE,0.0
COUNTY_ALEXANDRIA CITY,0.0
COUNTY_ALLEGHANY,0.0
COUNTY_ALLEGHENY,0.0
COUNTY_ALLEN,0.0
COUNTY_AMELIA,0.0
COUNTY_AMHERST,8.707759873967767e-08
COUNTY_ANDERSON,0.0
COUNTY_APPOMATTOX,0.0
COUNTY_ARLINGTON,0.0
COUNTY_ARMSTRONG,0.0
COUNTY_ASHLAND,0.0
COUNTY_ASHTABULA,0.0
COUNTY_ATHENS,0.0
COUNTY_AUGLAIZE,0.0
COUNTY_AUGUSTA,0.0
COUNTY_BALLARD,0.0
COUNTY_BARBOUR,0.0
COUNTY_BARREN,0.0
COUNTY_BATH,0.0
COUNTY_BEAVER,0.0
COUNTY_BEDFORD,0.0
COUNTY_BELL,0.0
COUNTY_BELMONT,1.1133203741185584e-09
COUNTY_BERKELEY,0.0
COUNTY_BERKS,0.0
COUNTY_BLAIR,0.0
COUNTY_BLAND,0.0
COUNTY_BOONE,0.0
COUNTY_BOTETOURT,0.0
COUNTY_BOURBON,0.0
COUNTY_BOYD,0.0
COUNTY_BOYLE,0.0
COUNTY_BRACKEN,0.0
COUNTY_BRADFORD,0.0
COUNTY_BRAXTON,0.0
COUNTY_BREATHITT,0.0
COUNTY_BRECKINRIDGE,0.0
COUNTY_BROOKE,7.158695821235595e-12
COUNTY_BROWN,0.0
COUNTY_BRUNSWICK,0.0
COUNTY_BUCHANAN,0.0
COUNTY_BUCKINGHAM,0.0
COUNTY_BUCKS,0.0
COUNTY_BULLITT,0.0
COUNTY_BUTLER,0.0
COUNTY_CABELL,0.0
COUNTY_CALDWELL,0.0
COUNTY_CALLOWAY,1.4090460984938005e-09
COUNTY_CAMBRIA,0.0
COUNTY_CAMPBELL,0.0
COUNTY_CARBON,0.0
COUNTY_CAROLINE,0.0
COUNTY_CARROLL,0.0
COUNTY_CARTER,0.0
COUNTY_CASEY,0.0
COUNTY_CENTRE,0.0
COUNTY_CHAMPAIGN,1.1066413109173455e-08
COUNTY_CHARLOTTE,0.0
COUNTY_CHESAPEAKE CITY,0.0
COUNTY_CHESTER,0.0
COUNTY_CHESTERFIELD,5.469025983070084e-07
COUNTY_CHRISTIAN,0.0
COUNTY_CLARION,0.0
COUNTY_CLARK,0.0
COUNTY_CLARKE,0.0
COUNTY_CLAY,0.0
COUNTY_CLEARFIELD,0.0
COUNTY_CLERMONT,0.0
COUNTY_CLINTON,0.0
COUNTY_COLUMBIA,0.0
COUNTY_COLUMBIANA,0.0
COUNTY_COSHOCTON,0.0
COUNTY_CRAIG,0.0
COUNTY_CRAWFORD,0.0
COUNTY_CRITTENDEN,2.9400763737817995e-11
COUNTY_CULPEPER,0.0
COUNTY_CUMBERLAND,0.0
COUNTY_CUYAHOGA,0.0
COUNTY_DARKE,0.0
COUNTY_DAUPHIN,0.0
COUNTY_DAVIESS,0.0
COUNTY_DEFIANCE,0.0
COUNTY_DELAWARE,0.0
COUNTY_DICKENSON,0.0
COUNTY_DINWIDDIE,0.0
COUNTY_DODDRIDGE,0.0
COUNTY_EDMONSON,0.0
COUNTY_ELK,0.0
COUNTY_ELLIOTT,0.0
COUNTY_ERIE,0.0
COUNTY_ESSEX,0.0
COUNTY_ESTILL,0.0
COUNTY_FAIRFAX,0.0
COUNTY_FAIRFIELD,0.0
COUNTY_FAUQUIER,0.0
COUNTY_FAYETTE,0.0
COUNTY_FLEMING,0.0
